id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
100;36589;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A2;Jeringa 4 gr.;51.28;51,28 €;36
101;36590;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A3;Jeringa 4 gr.;51.28;51,28 €;36
102;36591;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A3.5;Jeringa 4 gr.;51.28;51,28 €;36
103;36592;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A4;Jeringa 4 gr.;51.28;51,28 €;36
104;36593;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color B2;Jeringa 4 gr.;51.28;51,28 €;36
105;36594;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color C2;Jeringa 4 gr.;51.28;51,28 €;36
106;36595;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Bleach;Jeringa 4 gr.;51.28;51,28 €;36
107;36596;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Incisal;Jeringa 4 gr.;51.28;51,28 €;36
108;36597;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;OA3;Jeringa 4 gr.;51.28;51,28 €;36
109;36620;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color B3;Jeringa 4 gr.;51.28;51,28 €;36
110;36621;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color C3;Jeringa 4 gr.;51.28;51,28 €;36
111;36622;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color D3;Jeringa 4 gr.;51.28;51,28 €;36
112;36636;COMPOSITE UNIVERSAL ALL SHADES;Proclinic Expert;RESTAURACIÓN;Universal All Shades;1 jeringa de 4 gramos;53.51;53,51 €;37
113;36637;COMPOSITE UNIVERSAL ALL SHADES;Proclinic Expert;RESTAURACIÓN;Universal Opaque;1 jeringa de 4 gramos;53.51;53,51 €;37
114;36618;BULK FILL PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Jeringa x 4 gr. Universal;Composite posterior compacto de tonalidad universal que permite realizar incrementos;46.24;46,24 €;38
115;25950;BULK FILL FLOW;Proclinic Expert;RESTAURACIÓN;Universal;1 jeringa de 2 gr.;30.51;30,51 €;39
116;25951;BULK FILL FLOW;Proclinic Expert;RESTAURACIÓN;A2;1 jeringa de 2 gr.;30.51;30,51 €;39
117;25952;BULK FILL FLOW;Proclinic Expert;RESTAURACIÓN;Universal;20 cápsulas de 0,25 gr. INDICACIONES: Restauraciones clase I.;83.32;83,32 €;39
118;25953;BULK FILL FLOW;Proclinic Expert;RESTAURACIÓN;A2;20 cápsulas de 0,25 gr. INDICACIONES: Restauraciones clase I.;83.32;83,32 €;39
119;36602;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A1 2 jeringas;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
120;36603;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A2;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
121;36604;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A3;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
122;36605;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A3.5;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
123;36607;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color OA2;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
124;36623;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color B2;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
125;36624;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color C2;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
126;36625;NANO FLOW PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Bleach;El composite Nano Flow Proclinic Expert tiene una elevada resistencia a la compresión;29.9;29,90 €;40
127;41990;ORGANIZADOR JERINGAS COMPOSITE;Proclinic Expert;RESTAURACIÓN;;Para 12 jeringas;59.07;59,07 €;41
128;78564;ADHESIVO UNIVERSAL PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;5 ml.;El Adhesivo Universal de Proclinic Expert es un adhesivo monocomponente fotoactivable, diseñado para ser usado indistintamente con todas las técnicas adhesivas: autograbado, grabado selectivo en esmalte y grabado total. El adhesivo Universal Proclinic Expert garantiza valores de alta adhesión y se puede usar con seguridad en dentina seca y húmeda. Contiene el monómero MDP que crea una fuerte adhesión 1 química con la hidroxiapatita.;79.07;79,07 €;41
129;36599;ADHESIVO DE GRABADO TOTAL PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;5 ml.;El Adhesivo de Grabado Total Proclinic Expert es un adhesivo para la Se trata de un adhesivo que, gracias a su innovadora;67.02;67,02 €;42
130;78504;ADHESIVO DE AUTOGRABADO;Proclinic Expert;RESTAURACIÓN;5 ml.;El adhesivo de autograbado de Proclinic Versatilidad: Expert es un adhesivo mono componente, autograbante Compatible con la técnica de grabado que mejor se y fotopolimerizable, diseñado para garantizar una fuerte adhesión entre los composites dentales y las superficies de adapte a cada situación, ya sea grabado selectivo o esmalte y dentina. Compatible con todos los materiales de autograbado. composite fotopolimerizables disponibles en el mercado, ofrece un rendimiento confiable y de alta calidad en Mayor estabilidad y adhesión:;67.53;67,53 €;42
131;7839;ADHESIVO MONOCOMPONENTE;Proclinic;RESTAURACIÓN;5 ml.;;66.09;66,09 €;44
132;0110;ÁCIDO JUMBO;Proclinic;RESTAURACIÓN;, 0179 y 01583.;12 unidades;12.01;12,01 €;45
133;01583;ÁCIDO JUMBO;Proclinic;RESTAURACIÓN;;1 jeringa x 47 gr. + 2 jeringas x 3.5 gr. + 24 puntas + conector jeringas.;66.05;66,05 €;45
134;0179;ÁCIDO GEL VERDE;Proclinic;RESTAURACIÓN;;3 jeringa x 3 ml. + 12 puntas. Ácido ortofosfórico al 37%.;27.83;27,83 €;45
135;16321;ÁCIDO JUMBO;Proclinic;RESTAURACIÓN;;12 unidades;12.01;12,01 €;45
136;29001;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;;1 jeringa x 3 gr (1,8 ml) + 10 puntas;66.05;66,05 €;46
137;29002;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;;1 jeringa x 3 gr (1,8 ml) + 10 puntas;66.05;66,05 €;46
138;29003;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;;Ref. Ref.;77.46;77,46 €;46
139;29004;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;;Ref. Ref.;77.46;77,46 €;46
140;29005;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;Flow;1 jeringa x 3 gr (1,8 ml) + 10 puntas;68.68;68,68 €;46
141;29006;OMNICHROMA FLOW;Tokuyama;RESTAURACIÓN;Blocker;1 jeringa x 3 gr (1,8 ml) + 10 puntas;68.68;68,68 €;46
